Model,ROC AUC Score
Logistic Regression,0.9267241379310345
Random Forest,0.9164870689655172
Support Vector Machine,0.9310344827586207
K-Nearest Neighbors,0.9154094827586208
Decision Tree,0.8389008620689655
Gradient Boosting,0.9030172413793104
AdaBoost,0.8588362068965517
XGBoost,0.9073275862068966
Naive Bayes,0.894396551724138
LDA,0.935344827586207
